,name,label,mean_pixel,file_size
8756,2501987915.tif,8,254.75011803713528,0.014373779296875
4660,2046965620.tif,4,242.04380371352786,0.12318229675292969
6095,50401380-1384.tif,6,220.5005570291777,0.2551078796386719
304,508799835.tif,0,240.76986246786632,0.12987327575683594
8241,2074110459.tif,8,254.13452122015914,0.022649765014648438
9577,tob14401.24.tif,9,228.01346123521682,0.1883068084716797
1035,89354701.tif,1,252.95982337662338,0.04228401184082031
9976,1000121109_1000121110.tif,9,240.55725225225225,0.17379188537597656
7872,2069736993.tif,7,249.00032228116712,0.05845069885253906
8341,2001236609.tif,8,139.46241312741313,0.3290977478027344
10914,tob13421.40.tif,10,226.48161153846155,0.18500709533691406
5815,2505115337_5341.tif,5,244.81127586206895,0.08120536804199219
11298,0060026250.tif,11,250.17430052493438,0.04497528076171875
14444,50427056-7057.tif,14,234.06350132625994,0.1620807647705078
8670,2021645663.tif,8,253.1375534105534,0.022150039672851562
3128,507300540+-0545.tif,3,232.1733952254642,0.18629074096679688
5514,10010212_10010264.tif,5,249.6922176165803,0.05239677429199219
8498,2046701041.tif,8,254.32097616060227,0.019903182983398438
11492,2085538752.tif,11,246.75812334217505,0.08133125305175781
5028,88971451_1457.tif,5,250.99253865336658,0.040058135986328125
6879,2065400475_0480.tif,6,254.6703023872679,0.01596832275390625
9812,1003043369.tif,9,225.03284555984555,0.22330284118652344
12036,2010022128.tif,12,232.06557657657658,0.12772560119628906
11408,1000130920_1000130923.tif,11,240.88480823680823,0.121368408203125
3623,522659549+-9550.tif,3,241.28967639257294,0.1835784912109375
8254,2076861349.tif,8,199.0630397877984,0.27188873291015625
5156,2025735045_5054.tif,5,252.49382095490716,0.03134918212890625
7540,2057440943_2057440949.tif,7,245.27491974522292,0.11898612976074219
7497,2050934719_2050934721.tif,7,245.45544256348248,0.11582565307617188
7387,2031296862.tif,7,246.59967866323908,0.08006477355957031
2312,524799639+-9639.tif,2,247.9312453580902,0.05804443359375
5664,2000459606_2000459607.tif,5,247.3057027027027,0.06697463989257812
15324,94361106.tif,15,243.65534514435694,0.09506988525390625
5140,2505115070u_5070w.tif,5,250.1012374005305,0.04439544677734375
937,2501090339.tif,0,244.6656825613079,0.1105194091796875
708,507770172_507770173.tif,0,244.89089032258065,0.07388687133789062
6151,40041759-1759.tif,6,238.7282148541114,0.13689041137695312
13873,1000359502.tif,13,238.29548005148004,0.18068504333496094
13092,2044182928_2044182929.tif,13,235.86482080924856,0.20442771911621094
12900,2071718738_8739.tif,12,251.64814854111407,0.037929534912109375
4101,89702605_2606.tif,4,114.99876790450928,0.18117713928222656
2929,2083291848b.tif,2,253.52251061007956,0.024873733520507812
5703,CTRSP-FILES008919-89.tif,5,243.14120954907162,0.09345817565917969
12019,2071611906.tif,12,236.7652029177719,0.1074981689453125
13476,505400785.tif,13,239.0405816993464,0.10930252075195312
